DOC/Joacine/md@sapo.pt/
LIC/Glora Duffy/bd@sapo.pt/D
/Evelyn Koch/ek@sapo.pt/D
Mandy Zimmerman/mz@sapo.pt/BL
Lincoln Burris/lb@sapo.pt/D
Hanan Greig/hg@sapo.pt/BM
Emil Middleton/em@sapo.pt/D
Monika Sutherland/ms@sapo.pt/BM
Elisabeth Philip/ep@sapo.pt/BD
Mahira Redmond/mr@sapo.pt/D
Kelsi Burks/kb@sapo.pt/BD
Tammy Bautista/tb@sapo.pt/D
Kurtis Walter/kw@sapo.pt/BL
Shahid Walker/sw@sapo.pt/BL
Dominykas Gonzales/dg@sapo.pt/BM
Victoria Bevan/vb@sapo.pt/D
Kaylie Carrillo/kc@sapo.pt/BD
Bella Lacey/bl@sapo.pt/BM
Corbin West/cw@sapo.pt/D
Hebe Schmitt/hs@sapo.pt/D
